,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
55,Births in a private health facility that were delivered by caesarean section (%),56.3,43.8,47.3,37.5
56,Births in a public health facility that were delivered by caesarean section (%),15.0,17.4,17.0,12.5
57,Children age 12-23 months fully vaccinated based on information from either vaccination cardor mother's recall (%),66.8,64.6,64.9,38.2
58,Children age 12-23 months fully vaccinated based on information from vaccination cardonly (%),73.4,76.9,76.4,71.4
59,Children age 12-23 months who have received BCG (%),93.4,87.1,87.9,70.9
60,Children age 12-23 months who have received 3 doses of polio vaccine (%),70.5,68.8,69.0,53.7
61,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),83.2,76.8,77.7,52.3
62,Children age 12-23 months who have received the first dose of measles-containingvaccine (MCV) (%),85.1,80.1,80.7,54.6
63,Children age 24-35 months who have received a second dose of measles-containingvaccine (MCV) (%),29.6,27.1,27.4,na
64,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),28.8,32.4,32.0,na
65,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),80.9,71.8,73.0,40.9
66,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),75.7,68.8,69.7,45.3
67,Children age 12-23 months who received most of their vaccinations in a public healthfacility (%),99.3,97.3,97.6,93.9
68,Children age 12-23 months who received most of their vaccinations in a private healthfacility (%),0.7,0.7,0.7,5.5
69,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.3,5.3,5.1,6.5
70,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydrationsalts (ORS) (%),59.6,63.1,62.7,66.1
71,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),35.9,26.9,27.9,35.8
72,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or healthprovider (%),59.5,52.6,53.4,44.9
73,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding thesurvey (%),2.5,2.0,2.1,2.1
74,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a healthfacility or health provider (%),54.0,45.9,47.1,37.5
75,Children under age 3 years breastfed within one hour of birth (%),54.0,51.7,52.0,58.6
76,Children under age 6 months exclusively breastfed (%),66.2,62.9,63.4,57.0
77,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),(42.3),49.5,48.4,53.9
78,Breastfeeding children age 6-23 months receiving an adequate diet (%),26.5,23.4,23.8,12.3
79,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),(16.8),12.8,13.1,26.1
80,Total children age 6-23 months receiving an adequate diet (%),25.7,21.4,22.0,14.0
81,Children under 5 years who are stunted (height-for-age) (%),28.4,27.9,28.0,29.4
82,Children under 5 years who are wasted (weight-for-height) (%),10.1,13.6,13.1,17.3
83,Children under 5 years who are severely wasted (weight-for-height) (%),4.7,6.8,6.5,8.0
84,Children under 5 years who are underweight (weight-for-age) (%),13.1,15.8,15.4,19.4
85,Children under 5 years who are overweight (weight-for-height) (%),9.6,9.7,9.7,4.9
86,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),5.6,5.7,5.7,8.5
87,Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),6.4,4.6,4.9,8.3
88,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),28.9,22.9,23.9,18.8
89,Men who are overweight or obese (BMI ≥25.0 kg/m) (%),32.4,26.6,27.6,20.6
90,Women who have high risk waist-to-hip ratio (≥0.85) (%),66.6,69.4,68.9,na
91,Men who have high risk waist-to-hip ratio (≥0.90) (%),47.9,45.7,46.1,na
92,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),52.8,57.1,56.6,54.2
93,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),37.0,41.6,40.8,43.5
94,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),23.4,28.6,27.9,37.8
95,All women age 15-49 years who are anaemic (%),36.5,41.0,40.3,43.2
96,All women age 15-19 years who are anaemic (%),43.5,49.6,48.5,48.2
97,Men age 15-49 years who are anaemic (<13.0 g/dl)%),21.4,21.5,21.4,18.7
98,Men age 15-19 years who are anaemic (<13.0 g/dl)(%),21.9,25.6,24.9,22.9
99,Blood sugar level - high (141-160 mg/dl)(%),4.7,4.6,4.6,na
100,Blood sugar level - very high (>160 mg/dl)(%),3.7,3.0,3.1,na
101,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9.6,8.2,8.4,na
102,Blood sugar level - high (141-160 mg/dl)(%),6.4,6.8,6.7,na
103,Blood sugar level - very high (>160 mg/dl) (%),4.6,4.3,4.3,na
104,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.0,11.9,11.9,na
105,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),16.1,16.5,16.4,na
106,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),6.8,6.7,6.7,na
107,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),25.3,24.8,24.9,na
108,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),23.1,22.8,22.8,na
109,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),8.5,9.1,9.0,na
110,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),33.2,33.1,33.1,na
111,Ever undergone a screening test for cervical cancer (%),1.4,0.7,0.8,na
112,Ever undergone a breast examination for breast cancer (%),0.7,0.3,0.3,na
113,Ever undergone an oral cavity examination for oral cancer (%),1.0,0.5,0.6,na
114,Ever undergone an oral cavity examination for oral cancer (%),1.2,0.7,0.8,na
115,Women who have comprehensive knowledge of HIV/AIDS (%),11.1,12.5,12.3,16.0
116,Men who have comprehensive knowledge of HIV/AIDS(%),30.4,34.0,33.4,27.5
117,Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),58.6,62.9,62.2,45.2
118,Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),70.6,79.1,77.7,64.2
119,Currently married women who usually participate in three household decisions(%),89.2,86.6,87.0,89.1
120,Women who worked in the last 12 months and were paid in cash (%),23.0,23.6,23.5,17.2
121,Women owning a house and/or land (alone or jointly with others) (%),69.8,70.3,70.2,59.7
122,Women having a bank or savings account that they themselves use (%),86.0,76.7,78.2,56.6
123,Women having a mobile phone that they themselves use (%),81.9,75.3,76.4,59.8
124,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),93.5,91.4,91.8,73.4
125,Ever-married women age 18-49 years who have ever experienced spousal violence (%),18.5,26.0,24.8,31.0
126,Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),1.1,3.3,3.0,1.6
127,Young women age 18-29 years who experienced sexual violence by age 18 (%),0.1,0.8,0.7,0.9
128,Women age 15 years and above who use any kind of tobacco (%),14.0,19.7,18.8,na
129,Men age 15 years and above who use any kind of tobacco (%),44.5,51.4,50.3,na
130,Women age 15 years and above who consume alcohol (%),14.9,25.9,24.2,na
131,Men age 15 years and above who consume alcohol (%),44.3,54.3,52.7,na
