,Indicator,NFHS-5
45,Births delivered by caesarean section (%),34.3
46,Births in a private health facility that were delivered by caesarean section (%),69.1
47,Births in a public health facility that were delivered by caesarean section (%),24.8
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),62.4
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),69.7
50,Children age 12-23 months who have received BCG (%),95.9
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),62.4
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),90.8
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),89.4
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),48.6
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),0.0
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),90.3
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),60.6
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),97.6
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),2.4
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),8.8
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(81.2)
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(48.9)
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(69.7)
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.0
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),86.3
66,Indicators,(2019-20)
67,Children under age 3 years breastfed within one hour of birth (%),59.3
68,Children under age 6 months exclusively breastfed (%),*
69,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
70,Breastfeeding children age 6-23 months receiving an adequate diet  (%),31.4
71,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
72,Total children age 6-23 months receiving an adequate diet  (%),31.1
73,Children under 5 years who are stunted (height-for-age) (%),39.7
74,Children under 5 years who are wasted (weight-for-height) (%),25.5
75,Children under 5 years who are severely wasted (weight-for-height) (%),8.0
76,Children under 5 years who are underweight (weight-for-age) (%),41.0
77,Children under 5 years who are overweight (weight-for-height) (%),3.1
78,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),18.4
79,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),20.4
80,Women who have high risk waist-to-hip ratio (≥0.85) (%),67.1
81,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),74.7
82,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),66.5
83,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),49.4
84,All women age 15-49 years who are anaemic (%),65.8
85,All women age 15-19 years who are anaemic (%),65.6
86,Blood sugar level - high (141-160 mg/dl)(%),8.5
87,Blood sugar level - very high (>160 mg/dl)(%),7.0
88,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),16.2
89,Blood sugar level - high (141-160 mg/dl)(%),12.2
90,Blood sugar level - very high (>160 mg/dl) (%),10.3
91,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),23.4
92,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),9.6
93,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.3
94,pressure (%),17.6
95,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.5
96,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.7
97,pressure (%),20.7
98,Ever undergone a screening test for cervical cancer (%),0.7
99,Ever undergone a breast examination for breast cancer (%),1.3
100,Ever undergone an oral cavity examination for oral cancer (%),0.4
101,Women age 15 years and above who use any kind of tobacco (%),11.8
102,Men age 15 years and above who use any kind of tobacco (%),40.2
103,Women age 15 years and above who consume alcohol (%),0.8
104,Men age 15 years and above who consume alcohol (%),14.6
