,Indicator,NFHS_5,NFHS_4
84,Breastfeeding children age 6-23 months receiving an adequate diet  (%),9.1,2.5
85,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
86,Total children age 6-23 months receiving an adequate diet  (%),8.8,2.4
87,Children under 5 years who are stunted (height-for-age) (%),27.5,26.8
88,Children under 5 years who are wasted (weight-for-height) (%),15.4,15.3
89,Children under 5 years who are severely wasted (weight-for-height) (%),4.9,6.2
90,Children under 5 years who are underweight (weight-for-age) (%),26.7,20.0
91,Children under 5 years who are overweight (weight-for-height) (%),4.6,1.8
93,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),16.4,20.5
94,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),21.8,17.7
95,Women who have high risk waist-to-hip ratio (≥0.85) (%),75.0,na
97,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),71.0,45.3
98,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),66.9,44.5
99,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(53.2),(36.8)
100,All women age 15-49 years who are anaemic (%),66.4,44.1
101,All women age 15-19 years who are anaemic (%),66.8,43.4
104,Women - Blood sugar level - high (141-160 mg/dl)(%),8.0,na
105,Women - Blood sugar level - very high (>160 mg/dl)(%),8.0,na
106,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),17.4,na
108,Men - Blood sugar level - high (141-160 mg/dl)(%),9.7,na
109,Men - Blood sugar level - very high (>160 mg/dl) (%),9.7,na
110,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),20.9,na
113,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.0,na
114,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.0,na
116,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),22.5,na
118,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.7,na
119,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.1,na
121,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),24.9,na
123,Ever undergone a screening test for cervical cancer (%),0.9,na
124,Ever undergone a breast examination for breast cancer (%),1.0,na
125,Ever undergone an oral cavity examination for oral cancer (%),0.8,na
127,Women age 15 years and above who use any kind of tobacco (%),11.7,na
128,Men age 15 years and above who use any kind of tobacco (%),42.0,na
129,Women age 15 years and above who consume alcohol (%),2.4,na
130,Men age 15 years and above who consume alcohol (%),15.5,na
