,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
56,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),63.2,66.9,66.4,47.1
57,Children age 12-23 months fully vaccinated based on information from vaccination card  only (%),70.6,72.0,71.8,67.8
58,Children age 12-23 months who have received BCG (%),92.6,92.5,92.5,82.3
59,Children age 12-23 months who have received 3 doses of polio vaccine (%),69.3,74.0,73.4,56.0
60,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),79.7,82.0,81.7,66.5
61,Children age 12-23 months who have received the first dose of measles-containing  vaccine (MCV) (%),77.3,83.6,82.8,71.4
62,Children age 24-35 months who have received a second dose of measles-containing  vaccine (MCV) (%),12.5,20.3,19.4,na
63,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),44.8,45.5,45.4,na
64,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),72.7,75.4,75.1,52.0
65,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),64.0,57.4,58.2,57.9
66,Children age 12-23 months who received most of their vaccinations in a public health  facility (%),88.4,96.6,95.6,93.3
67,Children age 12-23 months who received most of their vaccinations in a private health  facility (%),9.2,1.3,2.3,5.3
68,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.7,5.8,5.5,2.9
69,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(81.0),68.4,69.1,51.9
70,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(27.0),28.0,28.0,22.0
71,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(61.8),53.0,53.5,50.8
72,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.5,2.5,2.5,1.0
73,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),55.0,50.8,51.2,46.8
74,Children under age 3 years breastfed within one hour of birth (%),48.5,49.2,49.1,64.4
75,Children under age 6 months exclusively breastfed (%),67.3,63.0,63.6,63.5
76,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),(57.6),51.2,51.7,49.9
77,Breastfeeding children age 6-23 months receiving an adequate diet  (%),8.3,8.1,8.1,8.7
78,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,5.9,5.4,10.8
79,Total children age 6-23 months receiving an adequate diet  (%),7.9,8.0,8.0,8.9
80,Children under 5 years who are stunted (height-for-age) (%),29.8,36.0,35.3,36.4
81,Children under 5 years who are wasted (weight-for-height) (%),19.1,22.1,21.7,17.0
82,Children under 5 years who are severely wasted (weight-for-height) (%),8.0,9.2,9.1,6.2
83,Children under 5 years who are underweight (weight-for-age) (%),25.9,33.6,32.8,29.8
84,Children under 5 years who are overweight (weight-for-height) (%),8.0,4.5,4.9,2.3
85,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),13.9,18.3,17.6,25.7
86,Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),11.3,13.8,13.4,20.7
87,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),23.8,13.6,15.2,13.2
88,Men who are overweight or obese (BMI ≥25.0 kg/m) (%),25.4,14.5,16.2,12.9
89,Women who have high risk waist-to-hip ratio (≥0.85) (%),66.6,67.3,67.2,na
90,Men who have high risk waist-to-hip ratio (≥0.90) (%),54.2,43.2,44.9,na
91,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),66.4,68.6,68.4,35.7
92,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),66.0,66.4,66.4,46.1
93,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),41.4,55.9,54.2,44.8
94,All women age 15-49 years who are anaemic (%),65.2,66.0,65.9,46.0
95,All women age 15-19 years who are anaemic (%),67.4,67.0,67.0,42.7
96,Men age 15-49 years who are anaemic (<13.0 g/dl)%),27.6,37.5,36.0,25.4
97,Men age 15-19 years who are anaemic (<13.0 g/dl)(%),34.6,40.4,39.6,23.5
98,Women - Blood sugar level - high (141-160 mg/dl)(%),8.4,6.6,6.9,na
99,Women - Blood sugar level - very high (>160 mg/dl)(%),7.0,4.5,4.9,na
100,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),16.6,12.1,12.8,na
101,Men - Blood sugar level - high (141-160 mg/dl)(%),8.8,8.3,8.4,na
102,Men - Blood sugar level - very high (>160 mg/dl) (%),9.5,5.6,6.2,na
103,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),20.4,15.2,16.0,na
104,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),12.0,10.8,11.0,na
105,Women - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),5.1,4.7,4.8,na
106,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),22.5,18.5,19.1,na
107,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),13.8,12.7,12.9,na
108,Men - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),5.3,4.2,4.4,na
109,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),23.8,19.6,20.3,na
110,Women - Ever undergone a screening test for cervical cancer (%),0.6,0.1,0.2,na
111,Women - Ever undergone a breast examination for breast cancer (%),0.4,0.2,0.2,na
112,Women - Ever undergone an oral cavity examination for oral cancer (%),0.4,0.2,0.2,na
113,Men - Ever undergone an oral cavity examination for oral cancer (%),0.0,1.6,1.4,na
114,Women who have comprehensive knowledge of HIV/AIDS (%),24.1,18.3,19.2,9.4
115,Men who have comprehensive knowledge of HIV/AIDS(%),29.0,24.6,25.3,22.5
116,Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),76.3,70.6,71.5,44.6
117,Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),86.9,84.9,85.2,70.6
118,Currently married women who usually participate in three household decisions(%),93.9,91.8,92.1,87.4
119,Women who worked in the last 12 months and were paid in cash (%),17.2,19.3,19.0,17.0
120,Women owning a house and/or land (alone or jointly with others) (%),36.3,43.9,42.7,52.3
121,Women having a bank or savings account that they themselves use (%),81.9,77.9,78.5,45.4
122,Women having a mobile phone that they themselves use (%),75.4,53.9,57.2,46.0
123,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),82.9,63.8,66.3,44.8
124,Ever-married women age 18-49 years who have ever experienced spousal violence (%),26.6,32.9,32.0,24.5
125,Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.2,2.3,2.3,2.0
126,Young women age 18-29 years who experienced sexual violence by age 18 (%),1.1,1.4,1.4,0.6
127,Women age 15 years and above who use any kind of tobacco (%),16.2,23.2,22.1,na
128,Men age 15 years and above who use any kind of tobacco (%),43.9,53.3,51.8,na
129,Women age 15 years and above who consume alcohol (%),2.6,8.2,7.3,na
130,Men age 15 years and above who consume alcohol (%),21.3,25.9,25.1,na
