,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
59,Children age 12-23 months who have received 3 doses of polio vaccine (%),63.5,69.3,68.5,71.0
60,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),69.6,73.7,73.1,73.9
61,Children age 12-23 months who have received the first dose of measles-containing  vaccine (MCV) (%),70.4,72.8,72.5,71.8
62,Children age 24-35 months who have received a second dose of measles-containing  vaccine (MCV) (%),12.2,14.5,14.2,na
63,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),5.5,3.9,4.1,na
64,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),56.0,67.3,65.7,62.8
65,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),69.3,59.7,61.0,57.8
66,Children age 12-23 months who received most of their vaccinations in a public health  facility (%),78.3,96.1,93.6,92.4
67,Children age 12-23 months who received most of their vaccinations in a private health  facility (%),17.0,1.3,3.5,4.9
68,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),11.8,10.2,10.4,10.6
69,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),60.9,75.5,73.2,77.4
70,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),42.2,40.2,40.5,57.8
71,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),69.1,69.2,69.2,69.9
72,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),5.8,4.7,4.8,5.8
73,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),66.6,74.0,72.9,74.9
74,Children under age 3 years breastfed within one hour of birth (%),70.8,79.9,78.8,60.6
75,Children under age 6 months exclusively breastfed (%),(64.5),39.2,42.7,35.8
76,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,66.2,66.8,67.4
77,Breastfeeding children age 6-23 months receiving an adequate diet  (%),37.5,28.0,29.0,24.2
78,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),(43.7),30.1,32.5,19.5
79,Total children age 6-23 months receiving an adequate diet  (%),39.5,28.4,29.8,23.5
80,Children under 5 years who are stunted (height-for-age) (%),35.1,48.2,46.5,43.8
81,Children under 5 years who are wasted (weight-for-height) (%),13.0,12.0,12.1,15.3
82,Children under 5 years who are severely wasted (weight-for-height) (%),4.6,4.7,4.7,6.5
83,Children under 5 years who are underweight (weight-for-age) (%),22.2,27.3,26.6,28.9
84,Children under 5 years who are overweight (weight-for-height) (%),4.2,4.0,4.0,3.9
85,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),10.2,11.0,10.8,12.1
86,Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),8.6,9.1,9.0,11.6
87,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),17.9,9.7,11.5,12.2
88,Men who are overweight or obese (BMI ≥25.0 kg/m) (%),30.2,10.6,13.9,10.1
89,Women who have high risk waist-to-hip ratio (≥0.85) (%),55.7,61.9,60.6,na
90,Men who have high risk waist-to-hip ratio (≥0.90) (%),28.5,24.0,24.7,na
91,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),38.8,46.0,45.1,48.0
92,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),52.4,54.9,54.4,56.4
93,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),40.2,45.9,45.0,53.3
94,All women age 15-49 years who are anaemic (%),51.8,54.3,53.8,56.2
95,All women age 15-19 years who are anaemic (%),44.6,54.6,52.5,52.1
96,Men age 15-49 years who are anaemic (<13.0 g/dl)%),16.1,27.4,25.5,32.4
97,Men age 15-19 years who are anaemic (<13.0 g/dl)(%),(7.4),35.0,30.1,25.2
98,Blood sugar level - high (141-160 mg/dl)(%),3.0,5.5,5.0,na
99,Blood sugar level - very high (>160 mg/dl)(%),4.8,2.5,3.0,na
100,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),10.3,9.3,9.5,na
101,Blood sugar level - high (141-160 mg/dl)(%),6.6,9.0,8.6,na
102,Blood sugar level - very high (>160 mg/dl) (%),7.6,3.5,4.2,na
103,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),16.0,13.4,13.9,na
104,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),13.6,9.0,10.0,na
105,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),4.9,3.6,3.9,na
106,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),24.6,17.1,18.7,na
107,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),17.8,13.3,14.2,na
108,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),5.8,3.4,3.8,na
109,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),28.5,19.9,21.4,na
110,Ever undergone a screening test for cervical cancer (%),0.6,0.6,0.6,na
111,Ever undergone a breast examination for breast cancer (%),1.3,0.2,0.5,na
112,Ever undergone an oral cavity examination for oral cancer (%),0.4,0.4,0.4,na
113,Ever undergone an oral cavity examination for oral cancer (%),2.3,0.9,1.2,na
114,Women who have comprehensive knowledge of HIV/AIDS (%),23.8,11.8,14.5,13.3
115,Men who have comprehensive knowledge of HIV/AIDS(%),32.5,11.9,15.9,14.2
116,Women who know that consistent condom use can reduce the chance of getting  HIV/AIDS (%),60.6,52.2,54.1,47.0
117,Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),70.6,60.8,62.7,52.1
118,Currently married women who usually participate in three household decisions(%),93.3,92.0,92.3,91.4
119,Women who worked in the last 12 months and were paid in cash (%),43.1,39.1,40.0,35.9
120,Women owning a house and/or land (alone or jointly with others) (%),47.8,70.1,65.0,57.3
121,Women having a bank or savings account that they themselves use (%),78.0,68.2,70.4,54.4
122,Women having a mobile phone that they themselves use (%),78.2,64.3,67.5,64.3
123,Women age 15-24 years who use hygienic methods of protection during their  menstrual period (%),85.0,59.1,64.9,63.7
124,Ever-married women age 18-49 years who have ever experienced spousal violence (%),23.2,14.2,16.0,28.8
125,Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.5,1.4,1.6,0.4
126,Young women age 18-29 years who experienced sexual violence by age 18 (%),0.0,0.6,0.5,0.0
127,Women age 15 years and above who use any kind of tobacco (%),27.2,28.5,28.2,na
128,Men age 15 years and above who use any kind of tobacco (%),47.0,60.6,57.7,na
129,Women age 15 years and above who consume alcohol (%),1.0,1.6,1.5,na
130,Men age 15 years and above who consume alcohol (%),28.5,33.5,32.4,na
