,Indicator,NFHS_5
72,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),8.7
73,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
74,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
75,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
76,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4.3
77,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),81.5
79,Children under age 3 years breastfed within one hour of birth (%),29.8
80,Children under age 6 months exclusively breastfed (%),*
81,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
82,Breastfeeding children age 6-23 months receiving an adequate diet (%),(5.5)
83,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
84,Total children age 6-23 months receiving an adequate diet (%),9.3
85,Children under 5 years who are stunted (height-for-age) (%),29.5
86,Children under 5 years who are wasted (weight-for-height) (%),29.5
87,Children under 5 years who are severely wasted (weight-for-height) (%),12.6
88,Children under 5 years who are underweight (weight-for-age) (%),36.0
89,Children under 5 years who are overweight (weight-for-height) (%),4.4
91,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),16.8
92,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),32.0
93,Women who have high risk waist-to-hip ratio (≥0.85) (%),50.7
95,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),67.0
96,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),57.8
97,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*
98,All women age 15-49 years who are anaemic (%),57.9
99,All women age 15-19 years who are anaemic (%),54.9
102,Women - Blood sugar level - high (141-160 mg/dl)(%),7.7
103,Women - Blood sugar level - very high (>160 mg/dl)(%),7.3
104,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),17.1
106,Men - Blood sugar level - high (141-160 mg/dl)(%),7.9
107,Men - Blood sugar level - very high (>160 mg/dl) (%),8.9
108,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),19.0
111,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),10.8
112,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.6
114,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),24.5
116,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.6
117,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),8.5
119,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),32.7
121,Ever undergone a screening test for cervical cancer (%),1.4
122,Ever undergone a breast examination for breast cancer (%),0.0
123,Ever undergone an oral cavity examination for oral cancer (%),0.4
125,Women age 15 years and above who use any kind of tobacco (%),1.5
126,Men age 15 years and above who use any kind of tobacco (%),14.0
127,Women age 15 years and above who consume alcohol (%),2.9
128,Men age 15 years and above who consume alcohol (%),43.3
